S_No,Instance_Id,Instance_Type,Private_Ip_Address,State,Architecture
1,i-02f278e0ef7f2318a,t2.micro,172.31.23.34,stopped,x86_64
2,i-045f6284305a62940,t2.micro,172.31.18.228,stopped,x86_64
